Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Uplink Tone,EchoLink,IRLP,Notes,Downlink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Web links,Links,Nets,Bandwidth,AllStar,Talkgroups,Rocky Mountain Wide,Central Regional,Affiliate,Mixed-Mode,On-air,Commands,Local/Cluster,Colorado,REACT,CO-Park County,Northern Colorado Regional,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Feed,P-25 Digital Enabled,NAC,Default Reflector,Southern Colorado,TAC 310,TAC 311,Colorado Chat,Local Network,Eastern Colorado,Devilshead Local,Location Photo,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Worldwide,English,BYRG
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,154.93,WNW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,,,,Denver,DM79MS,On-Air,,W0JRL,,CCARC,2015-05-15,100,201712,,,100,,,,,,,,,,29997,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,141.3,K0ECT,Dodge City,KS,OPEN,,,155.07,SE,,20,4114,37.53120041,-100.01699829,444.55,449.55,,,,Ford,DM97XM,On-Air,,SKECT,,Kansas Repeater Council,2018-07-12,141.3,,,,,,,,,,http://skect.org/default.aspx,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,,155.24,SSE,,40,4418,36.68280029,-101.48200226,147.15,147.75,,,,Texas,,On-Air,,DBARC,"Linked, WX.",ORSI,2014-01-27,88.5,,,,,,,,,,http://caprockintertie.org/,Full-time to the Caprock Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,,,155.97,WNW,,08,80,39.50419998,-105.12799835,146.88,146.28,,,,Jefferson,,On-Air,Wide Area,Denver Radio League,E-power.,CCARC,2020-03-13,100,,,6,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,N0PUF,"Centennial, Warren Mountain",CO,OPEN,EI,Y,155.97,WNW,Node Offline,08,273,39.50419998,-105.12799835,449.6,444.6,yes,Open ↑ / Open ↓,,Jefferson,,On-Air,,Denver Radio League,,CCARC,2020-03-13,,690473,3345,,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,157.62,NW,,08,8183,40.08470154,-104.81300354,224.96,223.36,,,,Weld,,On-Air,,AC0KC,,CCARC,2012-11-12,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,157.74,W,ON - IDLE,08,7185,38.43009949,-105.23200226,447.975,442.975,,,,Fremont,,On-Air,Canon City area. Repeater Coverage Map,K0JSC,Autopatch.,CCARC,2017-03-11,100,363976,7301,,100,,,,,,http://www.k0jsc.com,Full-time to the The Fun Machine System .,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,28368,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,158.78,WNW,,08,185,39.88560104,-104.98699951,147.045,147.645,,,,Adams,,On-Air,,Northglenn RA,E-power.,CCARC,2017-04-10,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,,158.91,WNW,,08,60,39.4703,-105.198,447.5,442.5,,,,Jefferson,,On-Air,Wide area.,Aurora Repeater Association,E-power.,CCARC,2014-04-28,88.5,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.475,5,CC,N0KOM,"Logan, KS-DMR",KS,OPEN,,D,159.55,E,,20,10023,39.66400146,-99.57700348,444.475,449.475,,,,Phillips,EM09FP,On-Air,35,,,Kansas Repeater Council,2020-03-07,,,,,,yes,1,310597,KS-DMR c Record retrieved from radioid.net,,KS-DMR Network,Full-time to the KS-DMR (3120) System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K0USY,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,,159.68,WNW,ON - IDLE,08,8208,39.83670044,-105.03700256,449.3,444.3,,,,Adams,,On-Air,,N1UPS,,CCARC,2017-04-24,100,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KE0KIY,Hays,KS,OPEN,,,159.88,ESE,,20,3993,38.84109879,-99.38279724,147.18,147.78,,,,Ellis,EM08HU,On-Air,35,Ellis Co. Ham Operators (ECHO),e-power.,Kansas Repeater Council,2019-03-18,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,160.05,NW,,08,157,40.26119995,-104.70600128,147,147.6,yes,Open ↑ / Open ↓,,Weld,DN70PG,On-Air,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,2019-05-06,,,3839,,,,,,,,,,Tuesday Night club net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,160.05,NW,,08,158,40.26119995,-104.70600128,448.475,443.475,,,,Weld,DN70PG,On-Air,,Weld Amateur Radio Society (WARS),,CCARC,2019-05-06,100,,3839,,,,,,,,http://www.warsco.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,160.26,WNW,,08,8204,39.70460129,-105.1230011,448.75,443.75,,,,Jefferson,DM79KQ,Off-Air,Local.,,E-power.,CCARC,2019-08-23,100,,,,100,,,,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,160.32,W,,08,278,38.45389938,-105.28600311,927.7,902.7,,,,Fremont,,On-Air,,Royal Gorge ARC,,CCARC,2017-03-11,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,160.53,W,,08,7184,38.4542,-105.29,446.7375,441.7375,,,,Fremont,DM78ii,On-Air,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,,IPSC Link to the Colorado network on Talk Slot 2.,CCARC,2017-03-11,,,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,yes,7,,,,http://www.k0jsc.com,Full-time to the Colorado TRBO System .,,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,2,,,,,,,yes,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,160.53,W,ON - IDLE,08,8879,38.4542,-105.29,447.25,442.25,,,,Fremont,DM78ik,On-Air,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,,,CCARC,2013-01-27,100,363976,7301,,100,,,,,,K0JSC dot Com,Full-time to the The Fun Machine System .,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,,28368,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,160.53,W,,08,29,38.4542,-105.29,53.03,51.33,,,,Fremont,,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",CCARC,2012-07-10,88.5,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,88.5,,,,,,Http://www.qsl.net/rghc,,,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,160.53,W,,08,30,38.4542,-105.29,145.49,144.89,,,,Fremont,DM78ik,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),CCARC,2017-03-11,103.5,,,,103.5,,,,,,Royal Gorge Amateur Radio Club,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,,,,,,Colorado ARES Region 5 District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,160.53,W,,08,31,38.4542,-105.29,223.96,222.36,,,,Fremont,,On-Air,Wide area. Repeater Coverage Map,RGARC,"E-power (Bat), Remote Base",CCARC,2017-10-04,103.5,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,160.53,W,,08,32,38.4542,-105.29,447.75,442.75,,,,Fremont,,On-Air,,RGARC,E-power (Bat),CCARC,2017-03-11,103.5,,3081,,103.5,,,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,160.69,WNW,,08,85,39.68220139,-105.14299774,147.33,147.93,,,,Jefferson,,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,2017-03-31,100,,,Not recommeded to use tone squelch on this repeater.,,,,,,,DRC Repeaters,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,160.69,WNW,,08,267,39.68220139,-105.14299774,224.38,222.78,,,,Jefferson,,On-Air,,Denver Radio Club,,CCARC,2017-03-11,100,,,,100,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,160.69,WNW,,08,8215,39.68220139,-105.14299774,449.775,444.775,yes,Open ↑ / Open ↓,,Jefferson,DM79KQ,On-Air,Metro Denver,Denver Radio Club,Yaesu Digital Only,CCARC,2019-09-06,,,,"YSF digital only, no analog FM",,,,,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,160.9,WNW,,08,5805,39.71620178,-105.12999725,447.825,442.825,,,,Jefferson,DM79KR,On-Air,,Denver Radio Club,,CCARC,2017-03-11,D073,,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.6,5,100,KE0KIY,Hays,KS,OPEN,,Y,161.43,ESE,,20,4076,38.94250107,-99.35569763,443.6,448.6,yes,Open ↑ / Open ↓,,Ellis,EM08HW,On-Air,Local.,ECHO ARC,,Kansas Repeater Council,2018-04-06,100,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,161.45,WNW,,08,9775,39.75049973,-105.1230011,147.21,147.81,,,,Jefferson,DM79KS,On-Air,,Denver Water Amateur Radio Club,,,2020-01-23,100,,3241,,100,,,,,,http://www.dwarc.com,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,161.45,WNW,,08,17349,39.75059891,-105.1230011,448.35,443.35,yes,Open ↑ / Open ↓,,Jefferson,,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,CCARC,2018-10-02,,,,,,,,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC 88.5,W0PHC,"Walsenburg, Badito Cone",CO,OPEN,,D,161.87,WSW,,08,18345,37.77199936,-105.02200317,447.6,442.6,,,,Huerfano,DM77LS,Off-Air,,Pueblo Amateur Radio Club,,CCARC,2019-12-12,88.5,,,Repeater off line due to road closure for the winter. (note entered 12/2019),88.5,yes,,,c Record retrieved from radioid.net,,http://www.puebloradio.org/,,,6.25,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,,161.9,W,,08,8214,38.9797,-105.357,449.7,444.7,,,,Park,,,,CMRG,,CCARC,2012-11-12,107.2,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,CC,K0USY,"Hays, KS-DMR",KS,OPEN,,D,162.01,ESE,,20,8551,38.90340042,-99.34359741,444.75,449.75,,,,Ellis,EM08HV,On-Air,15,,,Kansas Repeater Council,2019-12-08,,,,Hays West.,,yes,1,312003,KS DMR c Record retrieved from radioid.net,,KS-DMR Network,Full-time internet linked to the KS-DMR (3120) System .,,,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 1 2 Full-Time Local or Reflector 1 9 Full-Time Kansas 2 3120 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,K0USY Group,,,,1,,,,,,,,,,,,,,,,,,,,K0USY,,,,K0USY,1,2,,,,,,,,,,,,,,,
927.9375,-25.9,,KI0HC,"Indian Hills, Chief Mtn",CO,OPEN,,,162.14,WNW,,08,17457,39.6,-105.21,927.9375,902.025,,,,Jefferson,,On-Air,"Wide area,Denver,Colorado Springs, Pueblo, Loveland. I70 East of Denver to Genoa and I25 North to Loveland &amp; South to Aguilar. I76 East to Atwood",,linked to Centennial Cone 927.8375 &amp; Almagre 927.7250,CCARC,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,,162.49,WSW,,08,245,38.04109955,-105.18499756,224.32,222.72,,,,Custer,DM78JA,Off-Air,,Pueblo Ham Club,11,CCARC,2016-07-14,88.5,,,,,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,W0PHC,Pueblo,CO,OPEN,,,162.49,WSW,,08,197,38.04109955,-105.18499756,447.175,442.175,,,,Pueblo,DM78JA,Off-Air,Wide area: Southeast Colorado.,Pueblo Amateur Radio Club,11,CCARC,2019-12-10,88.5,,,,,,,,,,http://www.puebloradio.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,,162.78,W,,08,33,38.5386,-105.349,449,444,,,,Fremont,,On-Air,,WB0WDF,"E-power (Solar, Wind)",CCARC,2012-06-14,67,,,North of the Royal Gorge Bridge.,67,,,,,,Mega Link,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,162.88,NNE,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,,,,Keith,,On-Air,,Charlie Allen,,,2015-07-09,123,751985,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,,,,,,,,,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,114.8,N0ECQ,Hays,KS,OPEN,,,162.89,ESE,,20,4123,38.87919998,-99.32679749,444.825,449.825,,,,Ellis,EM08IV,On-Air,Local,,,Kansas Repeater Council,2018-01-08,114.8,,,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,162.89,WNW,,08,105,39.70080185,-105.1780014,53.09,51.39,,,,Jefferson,DM79JQ,On-Air,Metro Denver area.,Denver Radio Club,E-power.,CCARC,2017-03-11,107.2,,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,,163.39,SW,,08,240,37.16939926,-104.5,449.6,444.6,,,,Las Animas,,Off-Air,Wide area.,Cheyenne Mtn Rptr Grp,E-power.,CCARC,2017-10-24,107.2,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,,163.42,SW,,08,8180,37.16949844,-104.50099945,147.375,147.975,,,,Las Animas,,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,CCARC,2017-10-24,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,Y,163.42,SW,,08,13499,37.16949844,-104.50099945,447.375,442.375,yes,Open ↑ / Open ↓,,Las Animas,,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,E-power (batt).,CCARC,2018-04-04,100,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,CC 131.8,N7JYS,Hays,KS,OPEN,I,DY,163.57,ESE,,20,3975,38.93439865,-99.31549835,147.045,147.645,yes,Open ↑ / Open ↓,,Ellis,EM08IW,On-Air,"Ellis, Hays, Wakeeney. 35 mi radius.",N7JYS,E-power,Kansas Repeater Council,2019-12-08,131.8,,3917,MMDVM Mixed-mode.,131.8,yes,7,312024,BrandMeister c Record retrieved from radioid.net,,,Linkable to the Western Kansas Intertie System . Full-time internet linked to the CKRG System . Full-time internet linked to the KansasLink System .,,,,"Open Talkgroup View Assignment TS TG Access Local or Reflector 1 9 Full-Time CKRG 1 31204 Full-Time Local/Cluster 2 2 Full-Time KansasLink 2 31203 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,Yes; analog capable.,,,2,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,1,,1,2,,,,,,,,,,,,,
224.28,-1.6,131.8,N7JYS,Hays,KS,OPEN,A,,163.57,ESE,,20,13278,38.93429947,-99.31549835,224.28,222.68,,,,Ellis,EM08IW,On-Air,50,N7JYS,Internet linking,,2018-01-07,131.8,,,,131.8,,,,,,,,,,2351,,,,Western Kansas Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.45,5,162.2,N7JYS,"Hays, K-Link",KS,OPEN,A,,163.6,ESE,,20,4042,38.93399811,-99.31500244,442.45,447.45,,,,Ellis,EM08IW,On-Air,Click for coverage map. 35 mi radius.,N7JYS,E-Power.,Kansas Repeater Council,2017-12-30,162.2,,,,162.2,,,,,,K-Link Repeater Network,"Full-time to 443.57500 (K0HAM) at Ransom, K-Link, KS . Full-time to 444.95000 (AB0UO) at Russell, K-Link, KS . Full-time to the K-Link System . Linkable to the NEKSUN (K0HAM) System .",ARES: Sat at 21:00.,,42940,,,,Affiliate of the K-Link Repeater Network,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,,163.72,SSW,,35,73,36.76110077,-103.83399963,146.85,146.25,,,,Union,,Off-Air,Wide area.,Sierra Grande RC,E-power.,NMFCC,2015-08-13,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,,163.72,SSW,,35,74,36.76110077,-103.83399963,444.8,449.8,,,,Union,,Off-Air,Wide area.,Sierra Grande Repeater Club,E-power.,NMFCC,2015-08-13,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,,163.72,SSW,,35,15638,36.76110077,-103.83399963,147.175,147.775,,,,Union,,On-Air,,NMEMA ARC,,NMFCC,2017-01-22,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-0.5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,164.21,WNW,,08,10514,39.67340088,-105.21800232,53.17,52.67,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2019-03-25,107.2,,,,,,,,,,,Full-time to the N6LXX System .,,,29883,,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,,164.21,WNW,,08,10513,39.67340088,-105.21800232,447.875,442.875,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2017-03-09,107.2,,,,107.2,,,,,,,Full-time to the N6LXX System .,,,29913,,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,,164.55,WNW,,08,26,39.92060089,-105.08599854,448.925,443.925,,,,Boulder,,Off-Air,,W0LMA,,CCARC,2019-06-19,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,,164.55,WNW,,08,266,39.92060089,-105.08599854,449.825,444.825,,,,Boulder,,Off-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,6,CCARC,2019-06-19,103.5,,,,,,,,,,Repeater,,Colorado WX: Daily at 06:30. RMRL: Mod at 20:30. Astronomy: Tue at 19:00. Amateur Radio Events: Tue at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,,N5AKN,Forgan,OK,OPEN,,,165.19,SE,,40,4411,36.9070015,-100.53900146,147.39,147.99,,,,Beaver,,,70,N5AKN,WX.,ORSI,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,165.35,WNW,,08,103,39.5211,-105.305,1287.9,1267.9,,,,Jefferson,,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,2017-10-07,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.9875,5,CC,K0USY,"Hays, KS-DMR",KS,OPEN,,D,165.85,ESE,,20,17220,38.8982,-99.272,444.9875,449.9875,,,,Ellis,,On-Air,18,,,Kansas Repeater Council,2019-05-04,,,,,,yes,1,312034,,,KS-DMR Network,Full-time internet linked to the KS-DMR (3120) System .,,,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 1 2 Full-Time Local or Reflector 1 9 Full-Time Kansas 2 3120 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,,,,,,,,,,,,,,,,,,,,K0USY,,,,K0USY,1,2,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,166,NW,,08,156,40.40359879,-104.69999695,146.85,146.25,,,,Weld,,On-Air,,Northern Colorado ARC,"E-power, WX.",CCARC,2017-05-08,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,166.13,NW,,08,159,40.40370178,-104.70300293,449.725,444.725,,,,Weld,,On-Air,,K0OJ,"Autopatch, WX.",CCARC,2019-10-04,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,166.3,WNW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,,,Jefferson,DM79JR,On-Air,,WA2YZT,200,CCARC,2019-11-27,,,,See website for more info on CC/TS/TG programming. www.rmham.org,,yes,7,310802,RMHR c Record retrieved from radioid.net,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
